Date : 2026-03-08 21:24:10
Directory : /Applications/projects/flutter_projects/firedrop
Total : 100 files,  8399 codes, 368 comments, 935 blanks, all 9702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/states/empty_state.dart                         | Dart       |         58 |          0 |          4 |         62 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/states/error_state.dart                         | Dart       |         44 |          0 |          3 |         47 |
| /Applications/projects/flutter_projects/firedrop/lib/repositories/team_repository.dart                                    | Dart       |         27 |          1 |          7 |         35 |
| /Applications/projects/flutter_projects/firedrop/lib/repositories/tournament_repository.dart                              | Dart       |         74 |          8 |         24 |        106 |
| /Applications/projects/flutter_projects/firedrop/lib/repositories/video_repository.dart                                   | Dart       |         19 |          0 |          6 |         25 |
| /Applications/projects/flutter_projects/firedrop/lib/services/auth_service.dart                                           | Dart       |         60 |          3 |         15 |         78 |
| /Applications/projects/flutter_projects/firedrop/lib/services/team_service.dart                                           | Dart       |         54 |          1 |         14 |         69 |
| /Applications/projects/flutter_projects/firedrop/lib/services/tournament_service.dart                                     | Dart       |        109 |          9 |         32 |        150 |
| /Applications/projects/flutter_projects/firedrop/lib/services/video_service.dart                                          | Dart       |         29 |          0 |          6 |         35 |
| /Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.cc                             | C++        |          7 |          4 |          5 |         16 |
| /Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.h                              | C++        |          5 |          5 |          6 |         16 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/main.cc                                                     | C++        |          5 |          0 |          2 |          7 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/my_application.cc                                           | C++        |         94 |         26 |         29 |        149 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/my_application.h                                            | C++        |         17 |          0 |          5 |         22 |
| /Applications/projects/flutter_projects/firedrop/macos/Flutter/GeneratedPluginRegistrant.swift                            | Swift      |         16 |          3 |          4 |         23 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/AppDelegate.swift                                           | Swift      |         11 |          0 |          3 |         14 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json            | JSON       |         68 |          0 |          1 |         69 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/Base.lproj/MainMenu.xib                                     | XML        |        343 |          0 |          1 |        344 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/MainFlutterWindow.swift                                     | Swift      |         12 |          0 |          4 |         16 |
| /Applications/projects/flutter_projects/firedrop/macos/RunnerTests/RunnerTests.swift                                      | Swift      |          7 |          2 |          4 |         13 |
| /Applications/projects/flutter_projects/firedrop/pubspec.yaml                                                             | YAML       |         51 |          0 |          4 |         55 |
| /Applications/projects/flutter_projects/firedrop/test/widget_test.dart                                                    | Dart       |         14 |         10 |          7 |         31 |
| /Applications/projects/flutter_projects/firedrop/web/index.html                                                           | HTML       |         31 |          0 |          8 |         39 |
| /Applications/projects/flutter_projects/firedrop/web/manifest.json                                                        | JSON       |         35 |          0 |          1 |         36 |
| /Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.cc                           | C++        |         15 |          4 |          5 |         24 |
| /Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.h                            | C++        |          5 |          5 |          6 |         16 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.cpp                                        | C++        |         49 |          7 |         16 |         72 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.h                                          | C++        |         20 |          5 |          9 |         34 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/main.cpp                                                  | C++        |         30 |          4 |         10 |         44 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/resource.h                                                | C++        |          9 |          6 |          2 |         17 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/utils.cpp                                                 | C++        |         54 |          2 |         10 |         66 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/utils.h                                                   | C++        |          8 |          6 |          6 |         20 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.cpp                                          | C++        |        210 |         24 |         55 |        289 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.h                                            | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                     |            |      8,399 |        368 |        935 |      9,702 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
